,files,a,b,c,rmse
261,2021_01_04_16_35_15.json,-191.85804012125715,3.478980428354347,-0.0015122877478115108,81.36219009272905
262,2021_01_05_16_13_54.json,-71.82667126869995,2.6508341400335214,-0.001779241419470527,53.905429387908974
263,2021_01_06_16_31_31.json,5.071404964003108,1.5579677105217282,-0.0004949596563564248,10.44381147143809
264,2021_01_07_11_49_00.json,8.566832511923565,1.9739886694327524,-0.0008970528777725521,14.014181720970731
265,2021_01_07_18_01_08.json,-169.8163082755676,3.222490210547165,-0.001600138441002976,24.814159711274826
266,2021_01_09_15_31_49.json,-5.6072784714342845,1.5630448131031778,0.0002736971822556958,9.849841307534989
267,2021_01_10_15_54_54.json,14.63658695432332,1.9338221677843597,-0.00028473343945192853,13.154222500256441
268,2021_01_10_17_12_02.json,-50.64389581209616,1.8566842229426526,0.0004267923513900196,13.22200063279252
269,2021_01_11_15_20_48.json,19.124461079242963,2.0197887380719655,-0.0006599179165199164,11.113173304682656
270,2021_01_12_10_53_15.json,37.060268720331436,1.8152450340771438,-0.0007844760306719952,16.90208730292016
271,2021_01_12_16_12_17.json,-49.023193459406514,2.3508340352848047,-0.0005505053210080514,17.434624656676412
272,2021_01_14_07_12_22.json,-53.95382772069479,2.4174198134939866,-0.001348417672509128,15.09545303102825
273,2021_01_14_16_03_35.json,-96.5666217498441,2.5666536933832944,-0.0004811669689346075,18.491909829841962
274,2021_01_16_08_18_04.json,-164.6217270946513,3.277700357639098,-0.0008081979568548691,39.09217411562738
275,2021_01_16_18_35_22.json,221.46876154805696,0.4075494912053262,7.189315218570556e-05,12.1779185668365
276,2021_01_17_07_05_13.json,86.86125173995518,1.5063955412520764,-0.00036048246172416175,15.167759438977152
277,2021_01_18_13_06_38.json,235.1663441105851,0.49013847292108265,-0.00033843220801166145,19.610998292022725
278,2021_01_19_10_11_11.json,14.321301727372145,2.064822884588787,-0.0009373222648053531,11.478546215585894
279,2021_01_19_17_26_04.json,-161.14448615969854,3.20344224608014,-0.0009117090957586763,25.243194566745025
280,2021_01_21_15_19_52.json,-73.55887884169715,2.568819027715976,-0.0005713018237475092,15.527297619039551
281,2021_01_23_08_13_04.json,1.7633010920521883,2.027560838912221,-0.0003853938470789036,11.705776101426736
282,2021_01_23_16_10_07.json,-91.52229178458612,2.6856385756647962,-0.0007241528701470506,23.29101488035907
283,2021_01_25_16_40_26.json,-20.23295759385951,2.329151034313238,-0.0007106096627913362,18.77327857887045
284,2021_01_26_11_08_56.json,-7.17943195018222,2.264354648966301,-0.0011557207470113172,12.12999927010414
285,2021_01_26_18_17_47.json,-69.69628904111323,2.6112975161773977,-0.000708982449744998,17.922802121901512
286,2021_01_27_18_23_49.json,54.826504119895475,1.8384178447947332,-0.0013383668651806976,15.512842096003487
287,2021_01_28_10_12_41.json,80.07544003194803,1.6079922484368023,-0.0011338468950291684,22.030290858244896
288,2021_01_28_16_48_02.json,-240.92970462871932,3.886963210741376,-0.0009997949845509193,26.99327179405512
289,2021_02_01_17_34_08.json,-177.0967812440884,3.4451188513411863,-0.0013073992940091747,23.809604304526648
290,2021_02_02_12_34_49.json,-72.47878514330557,2.6851619419398327,-0.0011368547646799611,17.536572599437335
291,2021_02_02_18_11_10.json,-241.74372594447232,3.7684389650360597,-0.0008570442558361312,29.582772705970857
292,2021_02_03_16_35_21.json,-35.9647188582544,2.3960701820636023,-0.0006592359750171703,16.75495600026837
293,2021_02_04_17_36_01.json,9.381514118335872,1.9846562116939017,-0.0004622339385985074,13.386008942465846
294,2021_02_06_08_19_45.json,-80.38745764180533,2.7456321056712127,-0.0014877784978058178,13.812129857939807
295,2021_02_07_08_14_45.json,-274.1552329477585,4.253162342869613,-0.0008692045745846451,29.627215392151644
296,2021_02_08_16_37_29.json,144.25291902061267,1.180490944013235,-0.001170662187903652,15.845319910994707
297,2021_02_09_16_40_44.json,-93.51186085777101,2.780175539652696,-0.0011487601282134986,31.56734699463425
298,2021_02_10_16_49_19.json,-120.12861763766551,3.072399829360706,-0.001882697793179764,23.887675497048754
299,2021_02_11_15_19_13.json,-209.2727655155798,3.971291620973933,-0.004013637640773765,17.556883472367307
300,2021_02_11_16_01_38.json,-361.9819301025201,4.727462000658421,-0.005219101965982536,27.180354846707285
301,2021_02_12_17_21_01.json,-20.265943383943863,2.404889322838713,-0.001063998375551896,14.06825752103561
302,2021_02_13_11_19_54.json,134.00235146640753,1.1234020085383276,-0.00011315211937217407,27.668437392555646
303,2021_02_14_17_42_00.json,-71.68529447698023,2.692951904144472,-0.0010918496676608459,14.102600318912764
